timestamp,price,market_cap,total_volume
1604045044236,13211.4609426987,244991840427.482,24412401194.7517
1604045403509,13280.2908768968,245399690562.352,24553548258.2946
1604045647224,13305.4071022798,245399690562.352,24701680611.5407
1604045960636,13303.3624933717,246506890285.83,24650676938.4548
1604046297801,13291.0231348358,246506890285.83,24711772171.4004
1604046579966,13291.5613942059,246288312877.183,24698852321.0204
1604046935212,13279.9106862374,246288312877.183,24775681930.5562
1604047179592,13293.837740672,246330572600.413,24798046949.0175
1604047505592,13282.4471946872,246330572600.413,24742442048.0554
1604047823544,13265.0764311424,245793716163.069,24771868920.4015
1604048088991,13264.6783842915,245793716163.069,24777688965.5605
1604048368785,13240.2352836655,245337495054.09,24765544093.9986
1604048619911,13238.1867062796,245337495054.09,24755141705.536
1604049016087,13216.1714409268,244875088375.827,24726703280.9324
1604049311423,13180.6140579278,244875088375.827,24664023073.7657
1604049649936,13215.7042293696,244446490218.587,24859084660.582
1604049904349,13226.379808191,244446490218.587,24896740133.2452
1604050179522,13241.1572887613,245355003242.492,24934878396.1108
1604050505015,13255.1730147096,245355003242.492,24999923513.574
1604050761403,13261.6433863794,245734604997.679,25014764232.8047
1604051092576,13252.7181028002,245734604997.679,24983954711.2962
1604051414566,13278.1113073603,246015335380.184,25060320754.4013
1604051645723,13279.6482362454,246015335380.184,25065881364.6271
1604051975643,13278.2623211088,246015335380.184,25097661217.9417
1604052172610,13280.4532232914,246042628957.581,25111963384.0955
1604052558513,13323.3580380025,246878240460.874,25133535750.68
1604052854898,13305.41403657,246878240460.874,25134650199.6086
1604053243837,13294.6548285915,246473131200.63,25170783041.2208
1604053490058,13269.4739327703,246473131200.63,25133694853.799
1604053827641,13229.1458290979,245368080817.006,25120786860.6576
1604054053998,13224.3217024003,245368080817.006,25161452360.7359
1604054379043,13244.8195125749,245423525483.622,25166658472.5223
1604054702801,13232.9236404934,245423525483.622,25118781290.9889
1604054989387,13255.2778951091,245617476022.179,25177641985.4173
1604055275785,13272.8754575717,245617476022.179,25198435387.243
1604055597299,13286.4095598883,246194418857.952,25239950916.6391
1604055760535,13298.1549008536,246194418857.952,25212170929.9966
1604056163535,13309.3178542475,246618904810.41,25135699818.199
1604056417181,13308.7692850644,246618904810.41,25134235350.4194
1604056686697,13290.4399450116,246269194093.077,25117379084.1495
1604057036918,13272.3582739038,246269194093.077,25112919186.378
1604057379405,13283.2287503046,246135731496.14,25105421643.9762
1604057677036,13264.5651273142,246135731496.14,25071289877.6956
1604057971640,13253.8559796409,245591631877.95,25090141413.4161
1604058231533,13299.523081606,245591631877.95,25171598943.7595
1604058650613,13361.7355705643,247632876388.576,25334052784.51
1604058816459,13359.4034437165,247632876388.576,25328829448.3683
